MSA name,Output
1019.ID_1559:binLong:31_left_left__REDUCED__5699-5750___5750-5798__DOTS_1,no significant pairs
102.ID_1054:binLong:72_left_left__REDUCED__13999-14089___14239-14307__DOTS_1,no significant pairs
1020.ID_155:binLong:14_left_left__REDUCED__5666-5744___5759-5803__DOTS_1,no significant pairs
1021.ID_155:binLong:3_left_left__REDUCED__2762-2831___3752-3805__DOTS_1,no significant pairs
1022.ID_155:binLong:7_left_left__REDUCED__10381-10471___10564-10663__DOTS_1,no significant pairs
1023.ID_155:binShort:1_left_left__REDUCED__7720-7780___7754-7805__DOTS_1,no significant pairs
1024.ID_155:binShort:2_left_left__REDUCED__15153-15224___15170-15241__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1025.ID_155:binShort:3_left_left__REDUCED__10321-10394___10368-10428__DOTS_1,no significant pairs
1026.ID_156_left__REDUCED__3228-3300___3312-3366__DOTS_1,no significant pairs
1027.ID_1560_left__REDUCED__4416-4451___4593-4665__DOTS_1,no significant pairs
1028.ID_1561_left__REDUCED__1162-1243___1265-1316__DOTS_1,no significant pairs
1029.ID_1561:binLong:52_left_left__REDUCED__16749-16789___16835-16871__DOTS_1,no significant pairs
103.ID_1055_left__REDUCED__29529-29589___29573-29627__DOTS_1,no significant pairs
1030.ID_1562_left__REDUCED__10084-10130___10779-10821__DOTS_1,no significant pairs
1031.ID_1563_left__REDUCED__12856-12915___13011-13070__DOTS_1,no significant pairs
1032.ID_1564_left__REDUCED__16420-16512___16559-16625__DOTS_1,no significant pairs
1033.ID_1565_left__REDUCED__10388-10456___10588-10669__DOTS_1,no significant pairs
1034.ID_1566_left__REDUCED__26742-26792___26814-26861__DOTS_1,no significant pairs
1035.ID_1567_left__REDUCED__28318-28375___28982-29054__DOTS_1,no significant pairs
1036.ID_1568_left__REDUCED__2242-2345___2373-2419__DOTS_1,no significant pairs
1037.ID_1569_left__REDUCED__17520-17596___18165-18217__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1038.ID_156:binLong:10_left_left__REDUCED__19652-19708___20064-20111__DOTS_1,no significant pairs
1039.ID_156:binLong:28_left_left__REDUCED__16624-16702___16923-16993__DOTS_1,no significant pairs
104.ID_1056_left__REDUCED__8704-8778___8757-8814__DOTS_1,no significant pairs
1040.ID_156:binShort:1_left_left__REDUCED__21021-21055___21045-21116__DOTS_1,no significant pairs
1041.ID_156:binShort:4_left_left__REDUCED__22700-22743___22724-22786__DOTS_1,no significant pairs
1042.ID_157_left__REDUCED__6855-6917___7165-7227__DOTS_1,no significant pairs
1043.ID_1570_left__REDUCED__8134-8181___8222-8268__DOTS_1,no significant pairs
1044.ID_1571_left__REDUCED__28300-28360___29129-29222__DOTS_1,no significant pairs
1045.ID_1572_left__REDUCED__25656-25720___25754-25789__DOTS_1,no significant pairs
1046.ID_1573_left__REDUCED__22700-22729___22761-22809__DOTS_1,no significant pairs
1047.ID_1574_left__REDUCED__12590-12652___12649-12713__DOTS_1,no significant pairs
1048.ID_1575_left__REDUCED__18927-18977___19019-19087__DOTS_1,no significant pairs
1049.ID_1576_left__REDUCED__4418-4479___4621-4674__DOTS_1,no significant pairs
105.ID_1057_left__REDUCED__11341-11406___11807-11869__DOTS_1,no significant pairs
1050.ID_1577_left__REDUCED__7522-7610___8242-8325__DOTS_1,no significant pairs
1051.ID_1578_left__REDUCED__28465-28517___28660-28720__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1052.ID_1579_left__REDUCED__25410-25455___25768-25820__DOTS_1,no significant pairs
1053.ID_157:binLong:21_left_left__REDUCED__12336-12393___12709-12755__DOTS_1,no significant pairs
1054.ID_157:binLong:22_left_left__REDUCED__10542-10599___11354-11391__DOTS_1,no significant pairs
1055.ID_157:binLong:5_left_left__REDUCED__19651-19711___20055-20108__DOTS_1,no significant pairs
1056.ID_157:binLong:55_left_left__REDUCED__5624-5683___8884-8964__DOTS_1,no significant pairs
1057.ID_157:binLong:6_left_left__REDUCED__27-89___3909-3983__DOTS_1,no significant pairs
1058.ID_157:binShort:2_left_left__REDUCED__5132-5158___5151-5208__DOTS_1,no significant pairs
1059.ID_157:binShort:3_left_left__REDUCED__18437-18496___18468-18533__DOTS_1,no significant pairs
106.ID_1058_left__REDUCED__11912-11980___12125-12189__DOTS_1,no significant pairs
1060.ID_158_left__REDUCED__13828-13887___14293-14362__DOTS_1,no significant pairs
1061.ID_1580_left__REDUCED__26753-26810___26809-26852__DOTS_1,no significant pairs
1062.ID_1581_left__REDUCED__20163-20237___20777-20811__DOTS_1,no significant pairs
1063.ID_1582_left__REDUCED__28648-28712___28705-28767__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1064.ID_1583_left__REDUCED__4416-4456___4600-4668__DOTS_1,no significant pairs
1065.ID_1584_left__REDUCED__13533-13592___14547-14635__DOTS_1,no significant pairs
1066.ID_1585_left__REDUCED__17542-17598___18169-18260__DOTS_1,no significant pairs
1067.ID_1586_left__REDUCED__22902-22947___23024-23085__DOTS_1,no significant pairs
1068.ID_1587_left__REDUCED__15064-15110___15727-15764__DOTS_1,no significant pairs
1069.ID_1588_left__REDUCED__5960-6006___6540-6586__DOTS_1,no significant pairs
107.ID_1058:binShort:2_left_left__REDUCED__8562-8598___8598-8642__DOTS_1,no significant pairs
1070.ID_1589_left__REDUCED__18922-18979___19023-19099__DOTS_1,no significant pairs
1071.ID_158:binLong:55_left_left__REDUCED__12087-12154___12156-12300__DOTS_1,no significant pairs
1072.ID_158:binShort:1_left_left__REDUCED__22719-22789___22773-22810__DOTS_1,no significant pairs
1073.ID_158:binShort:4_left_left__REDUCED__19379-19430___19415-19479__DOTS_1,no significant pairs
1074.ID_159_left__REDUCED__28464-28521___28629-28704__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1075.ID_1590_left__REDUCED__2798-2861___2902-2941__DOTS_1,no significant pairs
1076.ID_1591_left__REDUCED__3222-3294___3323-3391__DOTS_1,no significant pairs
1077.ID_1592_left__REDUCED__15060-15111___15715-15769__DOTS_1,no significant pairs
1078.ID_1592:binLong:48_left_left__REDUCED__4086-4140___4984-5036__DOTS_1,no significant pairs
1079.ID_1593_left__REDUCED__10389-10461___10539-10615__DOTS_1,no significant pairs
108.ID_1059_left__REDUCED__17549-17654___18124-18186__DOTS_1,no significant pairs
1080.ID_1594_left__REDUCED__28298-28344___29104-29139__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1081.ID_1595_left__REDUCED__9554-9603___9912-9973__DOTS_1,no significant pairs
1082.ID_1596_left__REDUCED__1135-1219___1256-1330__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1083.ID_1597_left__REDUCED__2917-2981___3079-3130__DOTS_1,no significant pairs
1084.ID_1598_left__REDUCED__1808-1853___1931-1969__DOTS_1,no significant pairs
1085.ID_1599_left__REDUCED__13601-13664___14492-14574__DOTS_1,no significant pairs
1086.ID_159:binLong:20_left_left__REDUCED__3732-3792___3902-3974__DOTS_1,no significant pairs
1087.ID_159:binLong:4_left_left__REDUCED__28329-28374___28915-29061__DOTS_1,no significant pairs
1088.ID_159:binLong:55_left_left__REDUCED__15796-15878___15845-15922__DOTS_1,no significant pairs
1089.ID_159:binLong:6_left_left__REDUCED__2804-2883___3633-3692__DOTS_1,no significant pairs
109.ID_105:binLong:10_left_left__REDUCED__19060-19124___19520-19564__DOTS_1,no significant pairs
1090.ID_159:binShort:1_left_left__REDUCED__4576-4614___4596-4651__DOTS_1,no significant pairs
1091.ID_159:binShort:2_left_left__REDUCED__28385-28455___28439-28490__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1092.ID_15:binLong:15_left_left__REDUCED__18748-18813___18997-19080__DOTS_1,no significant pairs
1093.ID_15:binLong:22_left_left__REDUCED__16425-16482___16527-16617__DOTS_1,no significant pairs
1094.ID_15:binLong:25_left_left__REDUCED__28440-28507___28907-29001__DOTS_1,no significant pairs
1095.ID_15:binLong:55_left_left__REDUCED__8413-8476___8471-8537__DOTS_1,no significant pairs
1096.ID_15:binLong:6_left_left__REDUCED__28451-28539___28684-28790__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1097.ID_15:binShort:3_left_left__REDUCED__15198-15271___15251-15312__DOTS_1,no significant pairs
1098.ID_15:binShort:4_left_left__REDUCED__5257-5319___5300-5351__DOTS_1,no significant pairs
1099.ID_16_left__REDUCED__12332-12415___12708-12765__DOTS_1,no significant pairs
11.ID_1005_left__REDUCED__19844-19899___20075-20143__DOTS_1,no significant pairs
110.ID_105:binLong:11_left_left__REDUCED__9556-9602___10891-10968__DOTS_1,no significant pairs
1100.ID_160_left__REDUCED__5624-5692___8915-8963__DOTS_1,no significant pairs
1101.ID_1600_left__REDUCED__12858-12913___13021-13062__DOTS_1,no significant pairs
1102.ID_1601_left__REDUCED__16235-16309___16376-16428__DOTS_1,no significant pairs
1103.ID_1602_left__REDUCED__924-990___1363-1419__DOTS_1,no significant pairs
1104.ID_1603_left__REDUCED__26205-26256___26320-26367__DOTS_1,no significant pairs
1105.ID_1604_left__REDUCED__2814-2867___3634-3681__DOTS_1,no significant pairs
1106.ID_1605_left__REDUCED__11401-11555___11697-11787__DOTS_1,no significant pairs
1107.ID_1606_left__REDUCED__18690-18755___19023-19077__DOTS_1,no significant pairs
1108.ID_1607_left__REDUCED__16218-16288___16371-16429__DOTS_1,no significant pairs
1109.ID_1608_left__REDUCED__7552-7608___8222-8309__DOTS_1,no significant pairs
111.ID_105:binLong:15_left_left__REDUCED__1928-1987___2042-2109__DOTS_1,no significant pairs
1110.ID_1608:binLong:64_left_left__REDUCED__11846-11903___12233-12301__DOTS_1,no significant pairs
1111.ID_1609_left__REDUCED__2117-2155___2652-2733__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1112.ID_160:binLong:22_left_left__REDUCED__13532-13623___14628-14691__DOTS_1,no significant pairs
1113.ID_160:binLong:7_left_left__REDUCED__3247-3305___3315-3366__DOTS_1,no significant pairs
1114.ID_160:binShort:3_left_left__REDUCED__14450-14509___14493-14539__DOTS_1,no significant pairs
1115.ID_160:binShort:4_left_left__REDUCED__25462-25520___25510-25562__DOTS_1,no significant pairs
1116.ID_161_left__REDUCED__8340-8405___8498-8563__DOTS_1,no significant pairs
1117.ID_1610_left__REDUCED__2796-2857___2892-2940__DOTS_1,no significant pairs
1118.ID_1610:binLong:47_left_left__REDUCED__3236-3285___3430-3484__DOTS_1,no significant pairs
1119.ID_1611_left__REDUCED__2656-2710___4320-4364__DOTS_1,no significant pairs
112.ID_105:binLong:23_left_left__REDUCED__20196-20266___20775-20805__DOTS_1,no significant pairs
1120.ID_1612_left__REDUCED__7894-8001___8061-8122__DOTS_1,no significant pairs
1121.ID_1613_left__REDUCED__17080-17159___17250-17304__DOTS_1,no significant pairs
1122.ID_1613:binLong:29_left_left__REDUCED__6122-6177___6259-6283__DOTS_1,no significant pairs
1123.ID_1614_left__REDUCED__28355-28447___28946-29024__DOTS_1,no significant pairs
1124.ID_1615_left__REDUCED__13477-13549___14685-14741__DOTS_1,no significant pairs
1125.ID_1616_left__REDUCED__6088-6145___6280-6360__DOTS_1,no significant pairs
1126.ID_1617_left__REDUCED__4424-4482___4593-4666__DOTS_1,no significant pairs
1127.ID_1618_left__REDUCED__6549-6599___7258-7319__DOTS_1,no significant pairs
1128.ID_1619_left__REDUCED__3231-3305___3334-3384__DOTS_1,no significant pairs
1129.ID_161:binLong:16_left_left__REDUCED__11334-11397___11799-11865__DOTS_1,no significant pairs
113.ID_105:binLong:4_left_left__REDUCED__11340-11549___11703-11784__DOTS_1,no significant pairs
1130.ID_161:binLong:2_left_left__REDUCED__3756-3801___3855-3945__DOTS_1,no significant pairs
1131.ID_161:binLong:55_left_left__REDUCED__370-453___494-569__DOTS_1,no significant pairs
1132.ID_161:binShort:1_left_left__REDUCED__8186-8251___8239-8291__DOTS_1,no significant pairs
1133.ID_161:binShort:2_left_left__REDUCED__838-892___864-940__DOTS_1,no significant pairs
1134.ID_161:binShort:3_left_left__REDUCED__4619-4676___4654-4710__DOTS_1,no significant pairs
1135.ID_161:binShort:4_left_left__REDUCED__26922-26968___26963-27004__DOTS_1,no significant pairs
1136.ID_162_left__REDUCED__3488-3546___3561-3621__DOTS_1,no significant pairs
1137.ID_1620_left__REDUCED__29651-29686___29818-29856__DOTS_1,no significant pairs
1138.ID_1621_left__REDUCED__10322-10388___10370-10426__DOTS_1,no significant pairs
1139.ID_1622_left__REDUCED__28303-28362___29127-29158__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
114.ID_105:binLong:43_left_left__REDUCED__28823-28886___28970-29059__DOTS_1,no significant pairs
1140.ID_1623_left__REDUCED__29612-29655___29845-29888__DOTS_1,no significant pairs
1141.ID_1624_left__REDUCED__15881-15930___15984-16060__DOTS_1,no significant pairs
1142.ID_1625_left__REDUCED__28452-28527___28750-28858__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1143.ID_1626_left__REDUCED__17539-17597___18135-18178__DOTS_1,no significant pairs
1144.ID_1627_left__REDUCED__16101-16145___16156-16216__DOTS_1,no significant pairs
1145.ID_1628_left__REDUCED__1812-1848___1945-1975__DOTS_1,no significant pairs
1146.ID_1629_left__REDUCED__4415-4447___4592-4665__DOTS_1,no significant pairs
1147.ID_162:binLong:12_left_left__REDUCED__16094-16144___16566-16627__DOTS_1,no significant pairs
1148.ID_162:binLong:16_left_left__REDUCED__2903-3041___3054-3131__DOTS_1,no significant pairs
1149.ID_162:binLong:55_left_left__REDUCED__6853-6914___7158-7244__DOTS_1,no significant pairs
115.ID_105:binShort:2_left_left__REDUCED__1061-1107___1083-1146__DOTS_1,no significant pairs
1150.ID_162:binShort:3_left_left__REDUCED__13500-13564___13543-13589__DOTS_1,no significant pairs
1151.ID_162:binShort:4_left_left__REDUCED__10772-10831___10806-10855__DOTS_1,no significant pairs
1152.ID_163_left__REDUCED__21843-21882___21898-21941__DOTS_1,no significant pairs
1153.ID_1630_left__REDUCED__18754-18822___19000-19085__DOTS_1,no significant pairs
1154.ID_1631_left__REDUCED__3221-3301___3330-3393__DOTS_1,no significant pairs
1155.ID_1632_left__REDUCED__28308-28368___28992-29057__DOTS_1,no significant pairs
1156.ID_1633_left__REDUCED__10283-10341___10766-10798__DOTS_1,no significant pairs
1157.ID_1634_left__REDUCED__13576-13634___14512-14557__DOTS_1,no significant pairs
1158.ID_1635_left__REDUCED__974-1119___1301-1427__DOTS_1,no significant pairs
1159.ID_1636_left__REDUCED__1162-1237___1253-1298__DOTS_1,no significant pairs
116.ID_105:binShort:3_left_left__REDUCED__8235-8297___8267-8331__DOTS_1,no significant pairs
1160.ID_1637_left__REDUCED__16089-16146___16162-16210__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1161.ID_1638_left__REDUCED__8953-9006___9234-9294__DOTS_1,no significant pairs
1162.ID_1639_left__REDUCED__4412-4470___4656-4689__DOTS_1,no significant pairs
1163.ID_163:binShort:1_left_left__REDUCED__1848-1932___1918-1967__DOTS_1,no significant pairs
1164.ID_163:binShort:2_left_left__REDUCED__1975-2032___1999-2059__DOTS_1,no significant pairs
1165.ID_164_left__REDUCED__5956-6010___6542-6586__DOTS_1,no significant pairs
1166.ID_1640_left__REDUCED__28466-28527___28607-28684__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1167.ID_1641_left__REDUCED__813-878___1542-1598__DOTS_1,no significant pairs
1168.ID_1642_left__REDUCED__8346-8401___8487-8569__DOTS_1,no significant pairs
1169.ID_1643_left__REDUCED__783-899___1544-1621__DOTS_1,no significant pairs
117.ID_105:binShort:4_left_left__REDUCED__637-700___657-736__DOTS_1,no significant pairs
1170.ID_1644_left__REDUCED__2109-2158___2676-2750__DOTS_1,no significant pairs
1171.ID_1645_left__REDUCED__2494-2557___2601-2662__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1172.ID_1646_left__REDUCED__13522-13587___14684-14716__DOTS_1,no significant pairs
1173.ID_1647_left__REDUCED__16405-16481___16566-16604__DOTS_1,no significant pairs
1174.ID_1648_left__REDUCED__13545-13615___14517-14630__DOTS_1,no significant pairs
1175.ID_1649_left__REDUCED__4451-4529___4629-4681__DOTS_1,no significant pairs
1176.ID_164:binLong:8_left_left__REDUCED__5709-5759___8803-8845__DOTS_1,no significant pairs
1177.ID_164:binShort:2_left_left__REDUCED__1629-1679___1650-1714__DOTS_1,no significant pairs
1178.ID_164:binShort:4_left_left__REDUCED__26757-26826___26794-26873__DOTS_1,no significant pairs
1179.ID_165_left__REDUCED__1927-1989___2911-2975__DOTS_1,no significant pairs
118.ID_106_left__REDUCED__4417-4469___4628-4682__DOTS_1,no significant pairs
1180.ID_1650_left__REDUCED__2501-2547___2641-2705__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1181.ID_1651_left__REDUCED__14964-15008___15045-15112__DOTS_1,no significant pairs
1182.ID_1651:binLong:30_left_left__REDUCED__3129-3174___3174-3248__DOTS_1,no significant pairs
1183.ID_1652_left__REDUCED__10315-10370___10428-10463__DOTS_1,no significant pairs
1184.ID_1653_left__REDUCED__28307-28380___29090-29130__DOTS_1,no significant pairs
1185.ID_1654_left__REDUCED__10294-10345___10767-10796__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1186.ID_1655_left__REDUCED__7040-7110___7128-7172__DOTS_1,no significant pairs
1187.ID_1656_left__REDUCED__3221-3298___3325-3392__DOTS_1,no significant pairs
1188.ID_1657_left__REDUCED__1001-1120___1298-1408__DOTS_1,no significant pairs
1189.ID_1658_left__REDUCED__26197-26246___26315-26361__DOTS_1,no significant pairs
119.ID_1060_left__REDUCED__2700-2771___2749-2815__DOTS_1,no significant pairs
1190.ID_1659_left__REDUCED__28433-28515___28717-28778__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1191.ID_165:binLong:16_left_left__REDUCED__7883-7955___8105-8172__DOTS_1,no significant pairs
1192.ID_165:binLong:26_left_left__REDUCED__23222-23266___23553-23612__DOTS_1,no significant pairs
1193.ID_165:binLong:71_left_left__REDUCED__14018-14095___14150-14219__DOTS_1,no significant pairs
1194.ID_165:binShort:2_left_left__REDUCED__16607-16670___16628-16704__DOTS_1,no significant pairs
1195.ID_165:binShort:3_left_left__REDUCED__18243-18314___18282-18337__DOTS_1,no significant pairs
1196.ID_166_left__REDUCED__6023-6173___6269-6342__DOTS_1,no significant pairs
1197.ID_1660_left__REDUCED__28463-28527___28746-28789__DOTS_1,no significant pairs
1198.ID_1661_left__REDUCED__2916-2973___3094-3145__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1199.ID_1662_left__REDUCED__9378-9438___10148-10182__DOTS_1,no significant pairs
12.ID_1005:binLong:62_left_left__REDUCED__1785-1837___1905-1959__DOTS_1,no significant pairs
120.ID_1060:binLong:51_left_left__REDUCED__4440-4505___4614-4672__DOTS_1,no significant pairs
1200.ID_1663_left__REDUCED__13826-13883___14315-14367__DOTS_1,no significant pairs
1201.ID_1664_left__REDUCED__16703-16765___16862-16917__DOTS_1,no significant pairs
1202.ID_1665_left__REDUCED__19670-19750___20075-20114__DOTS_1,no significant pairs
1203.ID_1666_left__REDUCED__3735-3802___3929-3988__DOTS_1,no significant pairs
1204.ID_1667_left__REDUCED__11844-11907___11913-11970__DOTS_1,no significant pairs
1205.ID_1668_left__REDUCED__3455-3545___3586-3631__DOTS_1,no significant pairs
1206.ID_1668:binLong:52_left_left__REDUCED__19429-19504___19532-19568__DOTS_1,no significant pairs
1207.ID_1669_left__REDUCED__28304-28351___29069-29120__DOTS_1,no significant pairs
1208.ID_166:binLong:16_left_left__REDUCED__8312-8385___8817-8860__DOTS_1,no significant pairs
1209.ID_166:binLong:55_left_left__REDUCED__9007-9052___9193-9237__DOTS_1,no significant pairs
121.ID_1061_left__REDUCED__16504-16552___16533-16596__DOTS_1,no significant pairs
1210.ID_167_left__REDUCED__11464-11532___11710-11784__DOTS_1,no significant pairs
1211.ID_1670_left__REDUCED__2419-2465___2487-2526__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1212.ID_1671_left__REDUCED__18588-18647___21039-21093__DOTS_1,no significant pairs
1213.ID_1672_left__REDUCED__9967-10052___10074-10131__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1214.ID_1673_left__REDUCED__28471-28521___28704-28781__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1215.ID_1674_left__REDUCED__7524-7587___8244-8331__DOTS_1,no significant pairs
1216.ID_1675_left__REDUCED__15403-15495___17425-17470__DOTS_1,no significant pairs
1217.ID_1676_left__REDUCED__11284-11359___12010-12083__DOTS_1,no significant pairs
1218.ID_1677_left__REDUCED__28295-28341___29091-29142__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1219.ID_1678_left__REDUCED__5694-5751___8792-8832__DOTS_1,no significant pairs
122.ID_1062_left__REDUCED__3636-3681___3670-3729__DOTS_1,no significant pairs
1220.ID_1679_left__REDUCED__9428-9481___9912-9947__DOTS_1,no significant pairs
1221.ID_167:binLong:1_left_left__REDUCED__26708-26753___26850-26903__DOTS_1,no significant pairs
1222.ID_167:binLong:14_left_left__REDUCED__4349-4393___4773-4839__DOTS_1,no significant pairs
1223.ID_167:binLong:16_left_left__REDUCED__16670-16724___17422-17504__DOTS_1,no significant pairs
1224.ID_167:binLong:18_left_left__REDUCED__27372-27424___27733-27781__DOTS_1,no significant pairs
1225.ID_167:binLong:22_left_left__REDUCED__5837-5888___7484-7536__DOTS_1,no significant pairs
1226.ID_167:binLong:24_left_left__REDUCED__15388-15465___17431-17479__DOTS_1,no significant pairs
1227.ID_167:binLong:5_left_left__REDUCED__2230-2300___2359-2421__DOTS_1,no significant pairs
1228.ID_167:binLong:6_left_left__REDUCED__19703-19785___20045-20109__DOTS_1,no significant pairs
1229.ID_167:binLong:9_left_left__REDUCED__4351-4396___4783-4854__DOTS_1,no significant pairs
123.ID_1062:binLong:28_left_left__REDUCED__695-775___1605-1670__DOTS_1,no significant pairs
1230.ID_167:binShort:1_left_left__REDUCED__2563-2616___2598-2649__DOTS_1,no significant pairs
1231.ID_167:binShort:3_left_left__REDUCED__3081-3285___3175-3285__DOTS_1,no significant pairs
1232.ID_167:binShort:4_left_left__REDUCED__9910-9959___9944-10000__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1233.ID_168_left__REDUCED__4099-4163___4969-5029__DOTS_1,no significant pairs
1234.ID_1680_left__REDUCED__989-1157___1232-1439__DOTS_1,no significant pairs
1235.ID_1681_left__REDUCED__7526-7589___8248-8330__DOTS_1,no significant pairs
1236.ID_1682_left__REDUCED__15372-15447___16332-16371__DOTS_1,no significant pairs
1237.ID_1683_left__REDUCED__704-782___1541-1651__DOTS_1,no significant pairs
1238.ID_1684_left__REDUCED__4416-4466___4659-4692__DOTS_1,no significant pairs
1239.ID_1685_left__REDUCED__1815-1862___1907-1944__DOTS_1,no significant pairs
124.ID_1063_left__REDUCED__9801-9848___9865-9927__DOTS_1,no significant pairs
1240.ID_1686_left__REDUCED__16635-16737___16982-17031__DOTS_1,no significant pairs
1241.ID_1687_left__REDUCED__12850-12924___13079-13148__DOTS_1,no significant pairs
1242.ID_1688_left__REDUCED__13944-14000___14212-14276__DOTS_1,no significant pairs
1243.ID_1689_left__REDUCED__18892-18971___19033-19113__DOTS_1,no significant pairs
1244.ID_168:binLong:14_left_left__REDUCED__4098-4182___4962-5036__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1245.ID_168:binLong:26_left_left__REDUCED__13584-13644___14512-14601__DOTS_1,no significant pairs
1246.ID_168:binLong:55_left_left__REDUCED__2913-2967___3137-3174__DOTS_1,no significant pairs
1247.ID_168:binLong:8_left_left__REDUCED__16437-16495___16559-16625__DOTS_1,no significant pairs
1248.ID_168:binShort:3_left_left__REDUCED__10549-10600___10574-10637__DOTS_1,no significant pairs
1249.ID_168:binShort:4_left_left__REDUCED__4779-4830___4820-4860__DOTS_1,no significant pairs
125.ID_1063:binLong:44_left_left__REDUCED__21734-21764___22410-22474__DOTS_1,no significant pairs
1250.ID_169_left__REDUCED__16094-16137___16154-16217__DOTS_1,no significant pairs
